State,University/College ,Campus,"Student
enrollment","Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
ALABAMA,Jacksonville State University,,8514,13,0,3,0,10,57,13,43,1,
,Samford University,,5471,3,0,1,0,2,105,21,84,0,
,Troy University,,17855,1,0,1,0,0,76,14,58,4,
,University of Alabama: ,Birmingham,19535,28,0,1,5,22,456,8,429,19,
,,Tuscaloosa,37663,34,1,6,4,23,291,42,245,4,
,University of North Alabama,,7333,7,0,0,2,5,40,6,34,0,
,University of South Alabama,,16443,22,0,0,0,22,168,14,148,6,
ALASKA,University of Alaska: ,Anchorage,16318,2,0,0,1,1,76,3,65,8,0
,,Fairbanks,8283,4,0,1,0,3,66,0,62,4,0
ARIZONA,Arizona State University,Main Campus,97849,32,0,15,2,15,866,81,764,21,2
,Central Arizona College,,5585,0,0,0,0,0,12,2,9,1,0
,Northern Arizona University,,30361,24,0,12,1,11,267,18,249,0,0
,Pima Community College,,24956,3,0,2,1,0,76,8,66,2,0
,University of Arizona,,43161,22,0,9,4,9,617,64,536,17,1
ARKANSAS,Arkansas State University: ,Beebe,3989,0,0,0,0,0,6,2,4,0,0
,,Jonesboro,14085,5,0,2,0,3,62,10,52,0,1
,,Newport,2735,0,0,0,0,0,0,0,0,0,0
,Arkansas Tech University,,11894,1,0,1,0,0,101,10,90,1,0
,Henderson State University,,3551,5,0,2,2,1,30,2,27,1,2
,Southern Arkansas University,,4771,3,0,2,1,0,18,3,14,1,0
,University of Arkansas Community College,Morrilton,2029,0,0,0,0,0,7,0,7,0,1
,University of Arkansas: ,Fayetteville,27194,9,0,2,2,5,226,13,170,43,2
,,Little Rock,11746,3,0,0,1,2,80,5,74,1,0
,,Medical Sciences,2869,9,0,0,1,8,95,0,88,7,0
,,Pine Bluff,2821,3,0,0,1,2,57,12,44,1,0
CALIFORNIA,Allan Hancock College,,12012,0,0,0,0,0,6,1,5,0,0
,California State Polytechnic University: ,Pomona,25326,4,0,2,2,0,213,23,159,31,1
,,San Luis Obispo,21306,9,0,4,1,4,147,23,116,8,0
,California State University: ,Bakersfield,9341,3,0,2,0,1,75,10,65,0,0
,,Channel Islands,6611,1,0,0,0,1,44,0,42,2,0
,,Chico,17557,13,0,8,1,4,207,13,184,10,0
,,Dominguez Hills,14731,7,0,1,3,3,40,5,34,1,0
,,East Bay,15855,6,0,3,2,1,122,49,73,0,0
,,Fresno,24405,14,0,3,2,9,255,48,195,12,2
,,Fullerton,40235,5,0,3,1,1,187,13,167,7,1
,,Long Beach,37776,9,0,5,2,2,169,7,141,21,0
,,Los Angeles,27827,3,0,1,1,1,120,6,102,12,0
,,Monterey Bay,7274,12,0,4,0,8,39,6,32,1,0
,,Northridge,39916,9,0,4,0,5,297,13,258,26,4
,,Sacramento,30510,2,0,1,1,0,200,26,171,3,2
,,San Bernardino,20767,6,0,1,3,2,120,15,81,24,1
,,San Jose,32154,33,0,11,7,15,307,28,269,10,7
,,San Marcos,13144,6,0,5,0,1,20,0,19,1,1
,,Stanislaus,9762,5,0,4,0,1,47,0,39,8,1
,College of the Sequoias,,11959,1,0,0,1,0,75,5,62,8,1
